id;city;state
1;NewYork;New York
2;LosAngeles;California
3;Chicago;Illinois
4;Houston;Texas
5;Philadelphia;Pennsylvania
6;Phoenix;Arizona
7;SanAntonio;Texas
8;SanDiego;California
9;Dallas;Texas
10;SanJose;California
11;Austin;Texas
12;Jacksonville;Florida
13;SanFrancisco;California
14;Indianapolis;Indiana
15;Columbus;Ohio
16;FortWorth;Texas
17;Charlotte;North Carolina
18;Seattle;Washington
19;Denver;Colorado
20;ElPaso;Texas
21;Detroit;Michigan
22;Washington;District of Columbia
23;Boston;Massachusetts
24;Memphis;Tennessee
25;Nashville-Davidson;Tennessee
26;Portland;Oregon
27;OklahomaCity;Oklahoma
28;LasVegas;Nevada
29;Baltimore;Maryland
30;Louisville/JeffersonCounty;Kentucky
31;Milwaukee;Wisconsin
32;Albuquerque;New Mexico
33;Tucson;Arizona
34;Fresno;California
35;Sacramento;California
36;KansasCity;Missouri
37;LongBeach;California
38;Mesa;Arizona
39;Atlanta;Georgia
40;ColoradoSprings;Colorado
41;VirginiaBeach;Virginia
42;Raleigh;North Carolina
43;Omaha;Nebraska
44;Miami;Florida
45;Oakland;California
46;Minneapolis;Minnesota
47;Tulsa;Oklahoma
48;Wichita;Kansas
49;NewOrleans;Louisiana
50;Arlington;Texas
51;Cleveland;Ohio
52;Bakersfield;California
53;Tampa;Florida
54;Aurora;Colorado
55;Honolulu;Hawaii
56;Anaheim;California
57;SantaAna;California
58;CorpusChristi;Texas
59;Riverside;California
60;St.Louis;Missouri
61;Lexington-Fayette;Kentucky
62;Stockton;California
63;Pittsburgh;Pennsylvania
64;St.Paul;Minnesota
65;Anchorage;Alaska
66;Cincinnati;Ohio
67;Henderson;Nevada
68;Greensboro;North Carolina
69;Plano;Texas
70;Newark;New Jersey
71;Toledo;Ohio
72;Lincoln;Nebraska
73;Orlando;Florida
74;ChulaVista;California
75;JerseyCity;New Jersey
76;Chandler;Arizona
77;FortWayne;Indiana
78;Buffalo;New York
79;Durham;North Carolina
80;St.Petersburg;Florida
81;Irvine;California
82;Laredo;Texas
83;Lubbock;Texas
84;Madison;Wisconsin
85;Gilbert;Arizona
86;Norfolk;Virginia
87;Reno;Nevada
88;Winston-Salem;North Carolina
89;Glendale;Arizona
90;Hialeah;Florida
91;Garland;Texas
92;Scottsdale;Arizona
93;Irving;Texas
94;Chesapeake;Virginia
